SysDate-ms	SysDate	SysTime-ms	SameValues	U1	U2	U3	
05/17/2019 22:14:23 001	05/17/2019 22:14:23	001	1			
05/17/2019 22:14:24 000	05/17/2019 22:14:24	000	1			
05/17/2019 22:14:25 000	05/17/2019 22:14:25	000	1			
05/17/2019 22:14:26 001	05/17/2019 22:14:26	001	1			
05/17/2019 22:14:27 001	05/17/2019 22:14:27	001	1			
05/17/2019 22:14:28 000	05/17/2019 22:14:28	000	1			
05/17/2019 22:14:29 000	05/17/2019 22:14:29	000	1			
05/17/2019 22:14:30 001	05/17/2019 22:14:30	001	1			
05/17/2019 22:14:31 000	05/17/2019 22:14:31	000	1			
05/17/2019 22:14:32 001	05/17/2019 22:14:32	001	1			
05/17/2019 22:14:33 000	05/17/2019 22:14:33	000	1			
05/17/2019 22:14:34 001	05/17/2019 22:14:34	001	1			
05/17/2019 22:14:35 001	05/17/2019 22:14:35	001	1			
05/17/2019 22:14:36 000	05/17/2019 22:14:36	000	1			
05/17/2019 22:14:37 000	05/17/2019 22:14:37	000	1			
05/17/2019 22:14:38 000	05/17/2019 22:14:38	000	1			
05/17/2019 22:14:39 001	05/17/2019 22:14:39	001	1			
05/17/2019 22:14:40 000	05/17/2019 22:14:40	000	1			
05/17/2019 22:14:41 000	05/17/2019 22:14:41	000	1			
05/17/2019 22:14:42 000	05/17/2019 22:14:42	000	1			
05/17/2019 22:14:43 001	05/17/2019 22:14:43	001	1			
05/17/2019 22:14:44 001	05/17/2019 22:14:44	001	1			
05/17/2019 22:14:45 001	05/17/2019 22:14:45	001	1			
05/17/2019 22:14:46 000	05/17/2019 22:14:46	000	1			
05/17/2019 22:14:47 000	05/17/2019 22:14:47	000	1			
05/17/2019 22:14:48 001	05/17/2019 22:14:48	001	1			
05/17/2019 22:14:49 000	05/17/2019 22:14:49	000	1			
05/17/2019 22:14:50 000	05/17/2019 22:14:50	000	1			
05/17/2019 22:14:51 001	05/17/2019 22:14:51	001	1			
05/17/2019 22:14:52 000	05/17/2019 22:14:52	000	1			
05/17/2019 22:14:53 001	05/17/2019 22:14:53	001	1			
05/17/2019 22:14:54 000	05/17/2019 22:14:54	000	1			
05/17/2019 22:14:55 000	05/17/2019 22:14:55	000	1			
05/17/2019 22:14:56 001	05/17/2019 22:14:56	001	1			
05/17/2019 22:14:57 001	05/17/2019 22:14:57	001	1			
05/17/2019 22:14:58 001	05/17/2019 22:14:58	001	1			
05/17/2019 22:14:59 000	05/17/2019 22:14:59	000	1			
05/17/2019 22:15:00 000	05/17/2019 22:15:00	000	1			
05/17/2019 22:15:01 000	05/17/2019 22:15:01	000	1			
05/17/2019 22:15:02 001	05/17/2019 22:15:02	001	1			
05/17/2019 22:15:03 000	05/17/2019 22:15:03	000	1			
05/17/2019 22:15:04 001	05/17/2019 22:15:04	001	1			
05/17/2019 22:15:05 001	05/17/2019 22:15:05	001	1			
05/17/2019 22:15:06 000	05/17/2019 22:15:06	000	1			
05/17/2019 22:15:07 001	05/17/2019 22:15:07	001	1			
05/17/2019 22:15:08 001	05/17/2019 22:15:08	001	1			
05/17/2019 22:15:09 000	05/17/2019 22:15:09	000	1			
05/17/2019 22:15:10 001	05/17/2019 22:15:10	001	1			
05/17/2019 22:15:11 000	05/17/2019 22:15:11	000	1			
05/17/2019 22:15:12 000	05/17/2019 22:15:12	000	1			
05/17/2019 22:15:13 001	05/17/2019 22:15:13	001	1			
05/17/2019 22:15:14 001	05/17/2019 22:15:14	001	1			
05/17/2019 22:15:15 000	05/17/2019 22:15:15	000	1			
05/17/2019 22:15:16 000	05/17/2019 22:15:16	000	1			
05/17/2019 22:15:17 001	05/17/2019 22:15:17	001	1			
05/17/2019 22:15:18 000	05/17/2019 22:15:18	000	1			
05/17/2019 22:15:19 001	05/17/2019 22:15:19	001	1			
05/17/2019 22:15:20 000	05/17/2019 22:15:20	000	1			
05/17/2019 22:15:21 003	05/17/2019 22:15:21	003	1			
05/17/2019 22:15:22 001	05/17/2019 22:15:22	001	1			
05/17/2019 22:15:23 000	05/17/2019 22:15:23	000	1			
05/17/2019 22:15:24 000	05/17/2019 22:15:24	000	1			
05/17/2019 22:15:25 001	05/17/2019 22:15:25	001	1			
05/17/2019 22:15:26 001	05/17/2019 22:15:26	001	1			
05/17/2019 22:15:27 000	05/17/2019 22:15:27	000	1			
05/17/2019 22:15:28 000	05/17/2019 22:15:28	000	1			
