SysDate-ms	SysDate	SysTime-ms	SameValues	Q	SMM_Time	SysMemoryLoad	P	K3	Rm	K2	Q1	P1	I2	I1	Q3	U2	Ap	P3	Q2	U1	f	P2	SysCpuLoad	SMX_SysDateTime	I3	Am	K1	Rp	U3	
03/13/2018 21:34:58 002	03/13/2018 21:34:58	002	0			51.36593754012874																	83.84171165465875	03/13/2018 21:34:58						
03/13/2018 21:34:59 002	03/13/2018 21:34:59	002	0			51.306394557627925																	84.69269076676522	03/13/2018 21:34:58						
03/13/2018 21:35:00 000	03/13/2018 21:35:00	000	0			51.33662039292151																	81.28251414467927	03/13/2018 21:34:59						
03/13/2018 21:35:01 000	03/13/2018 21:35:01	000	0			51.35290503994282																	86.12465819527102	03/13/2018 21:35:01						
03/13/2018 21:35:02 000	03/13/2018 21:35:02	000	0			51.348959420620474																	83.71958033536201	03/13/2018 21:35:02						
03/13/2018 21:35:03 001	03/13/2018 21:35:03	001	0			51.37263313655453																	84.76916050859411	03/13/2018 21:35:03						
03/13/2018 21:35:04 001	03/13/2018 21:35:04	001	0			51.28724036928127																	81.7841985766646	03/13/2018 21:35:04						
03/13/2018 21:35:05 000	03/13/2018 21:35:05	000	0			51.324616145043834																	86.85203267996269	03/13/2018 21:35:05						
03/13/2018 21:35:06 000	03/13/2018 21:35:06	000	0			51.32643352121655																	81.11471985964225	03/13/2018 21:35:06						
03/13/2018 21:35:07 002	03/13/2018 21:35:07	002	0			51.32643352121655																	81.11471985964225	03/13/2018 21:35:07						
03/13/2018 21:35:08 001	03/13/2018 21:35:08	001	0			51.303548929146956																	84.67740769325356	03/13/2018 21:35:07						
03/13/2018 21:35:09 000	03/13/2018 21:35:09	000	0			51.32609874139526																	84.24844121132722	03/13/2018 21:35:09						
03/13/2018 21:35:10 000	03/13/2018 21:35:10	000	0			51.27650350215562																	81.49617020067154	03/13/2018 21:35:10						
03/13/2018 21:35:11 002	03/13/2018 21:35:11	002	0			51.29840766760572																	82.26020670260775	03/13/2018 21:35:11						
03/13/2018 21:35:12 003	03/13/2018 21:35:12	003	0			51.34991593439559																	82.46113600870372	03/13/2018 21:35:12						
03/13/2018 21:35:13 001	03/13/2018 21:35:13	001	0			51.35182896194582																	84.9144736421572	03/13/2018 21:35:12						
